user_no,user_name,class_no,course_class,events_count,briefing_count,interview_count,inactivity_days,start_delay_days,two_week_violation_rate,dev_inactivity,dev_start_delay,dev_events,dev_two_week_violation,excluded_good,followup_candidate
20252055,未行動_2025_05,r3a101,R,0,0,0,257,663,0.0,43.14495221390198,62.23885076884018,65.09388324651772,42.95019082581278,False,True
20252059,未行動_2022_01,r3a116,R,0,0,0,257,663,0.0,43.14495221390198,62.23885076884018,65.09388324651772,42.95019082581278,False,True
20252057,未行動_2024_01,r3a122,R,0,0,0,257,663,0.0,43.14495221390198,62.23885076884018,65.09388324651772,42.95019082581278,False,True
20252053,未行動_2025_03,r3a129,R,0,0,0,257,663,0.0,43.14495221390198,62.23885076884018,65.09388324651772,42.95019082581278,False,True
20252056,未行動_2025_06,r3a131,R,0,0,0,257,663,0.0,43.14495221390198,62.23885076884018,65.09388324651772,42.95019082581278,False,True
20252058,未行動_2023_01,r3a138,R,0,0,0,257,663,0.0,43.14495221390198,62.23885076884018,65.09388324651772,42.95019082581278,False,True
20252051,未行動_2025_01,r3a211,R,0,0,0,257,663,0.0,43.14495221390198,62.23885076884018,65.09388324651772,42.95019082581278,False,True
20252054,未行動_2025_04,r3a223,R,0,0,0,257,663,0.0,43.14495221390198,62.23885076884018,65.09388324651772,42.95019082581278,False,True
20252052,未行動_2025_02,r3a242,R,0,0,0,257,663,0.0,43.14495221390198,62.23885076884018,65.09388324651772,42.95019082581278,False,True
20252060,未行動_2021_01,r3a244,R,0,0,0,257,663,0.0,43.14495221390198,62.23885076884018,65.09388324651772,42.95019082581278,False,True
